,level_0,index,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
0,0,0,RB50392,Washington,,Master,,0,1000,1/0/00,Personal Auto,Four-Door Car,2
1,1,1,QZ44356,Arizona,F,Bachelor,697953.0,0,94,1/0/00,Personal Auto,Four-Door Car,1131
2,2,2,AI49188,Nevada,F,Bachelor,1288743.0,48767,108,1/0/00,Personal Auto,Two-Door Car,566
3,3,3,WW63253,California,M,Bachelor,764586.0,0,106,1/0/00,Corporate Auto,SUV,529
4,4,4,GA49547,Washington,M,High School or Below,536307.0,36357,68,1/0/00,Personal Auto,Four-Door Car,17
5,5,5,OC83172,Oregon,F,Bachelor,825629.0,62902,69,1/0/00,Personal Auto,Two-Door Car,159
6,6,6,XZ87318,Oregon,F,College,538089.0,55350,67,1/0/00,Corporate Auto,Four-Door Car,321
7,7,7,CF85061,Arizona,M,Master,721610.0,0,101,1/0/00,Corporate Auto,Four-Door Car,363
8,8,8,DY87989,Oregon,M,Bachelor,2412750.0,14072,71,1/0/00,Corporate Auto,Four-Door Car,511
9,9,9,BQ94931,Oregon,F,College,738817.0,28812,93,1/0/00,Special Auto,Four-Door Car,425
10,10,10,SX51350,California,M,College,473899.0,0,67,1/0/00,Personal Auto,Four-Door Car,482
11,11,11,VQ65197,California,,College,819719.0,0,110,1/0/00,Personal Auto,SUV,528
12,12,12,DP39365,California,,Master,879879.0,77026,110,1/2/00,Corporate Auto,Four-Door Car,472
13,13,13,SJ95423,Arizona,,High School or Below,881901.0,99845,110,1/1/00,Corporate Auto,SUV,528
14,14,14,IL66569,California,,College,538443.0,83689,70,1/2/00,Corporate Auto,Four-Door Car,307
15,15,15,BW63560,Oregon,,Bachelor,746313.0,24599,64,1/1/00,Corporate Auto,Four-Door Car,42
16,16,16,FV94802,Nevada,,High School or Below,256686.0,25049,67,1/0/00,Personal Auto,Two-Door Car,454
17,17,17,OE15005,California,,College,394524.0,28855,101,1/0/00,Personal Auto,SUV,647
18,18,18,WC83389,Oregon,,College,571033.0,51148,72,1/0/00,Personal Auto,Four-Door Car,308
19,19,19,FL50705,California,,High School or Below,816261.0,66140,101,1/0/00,Corporate Auto,Four-Door Car,484
20,20,20,ZK25313,Oregon,,High School or Below,287205.0,57749,74,1/0/00,Personal Auto,Two-Door Car,355
21,21,21,QK46697,Washington,M,Bachelor,617710.0,61040,79,1/1/00,Personal Auto,Two-Door Car,20
22,22,22,YH23384,Arizona,,Bachelor,2412750.0,14072,71,1/0/00,Personal Auto,Four-Door Car,511
23,23,23,TZ98966,Nevada,,Bachelor,245019.0,0,73,1/3/00,Corporate Auto,Four-Door Car,554
24,24,24,HM55802,California,,Bachelor,239210.0,17870,61,1/0/00,Corporate Auto,Four-Door Car,439
25,25,25,FS42516,Oregon,,College,580206.0,97541,72,1/0/00,Personal Auto,Four-Door Car,389
26,26,26,US89481,California,,Bachelor,394637.0,0,111,1/0/00,Personal Auto,Four-Door Car,799
27,27,27,HS14476,Washington,M,College,916206.0,29723,80,1/0/00,Personal Auto,Four-Door Car,20
28,28,28,GE62437,Arizona,,College,1290256.0,86584,111,1/2/00,Personal Auto,Four-Door Car,532
29,29,29,EJ77678,Oregon,,Master,323536.0,75690,80,1/1/00,Personal Auto,Four-Door Car,384
30,30,30,SV85652,Arizona,,College,245458.0,23158,63,1/1/00,Personal Auto,Four-Door Car,322
31,31,31,UL64533,Nevada,,High School or Below,1897545.0,65999,237,1/0/00,Corporate Auto,Luxury,615
32,32,32,PF41800,California,,Bachelor,471532.0,0,65,1/0/00,Personal Auto,Four-Door Car,308
33,33,33,HD95276,Washington,F,College,473787.0,0,130,1/0/00,Personal Auto,SUV,23
34,34,34,SK67821,Oregon,,Bachelor,493291.0,37260,62,1/0/00,Corporate Auto,Four-Door Car,15
35,35,35,YV55495,Arizona,,High School or Below,574422.0,68987,71,1/0/00,Personal Auto,Four-Door Car,204
36,36,36,KY38074,California,,Bachelor,1389173.0,42305,117,1/0/00,Personal Auto,Four-Door Car,561
37,37,37,DM79012,Oregon,,Master,738097.0,65706,91,1/0/00,Personal Auto,Four-Door Car,436
38,38,38,CM61827,Oregon,,Bachelor,309003.0,0,90,1/0/00,Personal Auto,Two-Door Car,648
39,39,39,WC35801,Arizona,,High School or Below,252163.0,53243,66,1/2/00,Personal Auto,Four-Door Car,157
40,40,40,QG25316,Nevada,,High School or Below,265206.0,0,70,1/1/00,Corporate Auto,Two-Door Car,484
41,41,41,MB98372,Oregon,,College,277104.0,50071,71,1/0/00,Corporate Auto,Two-Door Car,18
42,42,42,IL19217,California,,Bachelor,393900.0,60021,99,1/0/00,Personal Auto,Four-Door Car,882
43,43,43,SR38658,Arizona,,High School or Below,1223187.0,43244,103,1/0/00,Personal Auto,Luxury,494
44,44,44,YD87931,Washington,M,Doctor,495165.0,46896,35354,1/1/00,Personal Auto,Four-Door Car,31
45,45,45,HG65722,Oregon,,Doctor,1281910.0,10105,172,1/3/00,Personal Auto,SUV,0
46,46,46,BU27331,Arizona,,Bachelor,446851.0,0,73,1/3/00,Personal Auto,Four-Door Car,579
47,47,47,XM45289,Oregon,,High School or Below,551434.0,23218,71,1/0/00,Personal Auto,Two-Door Car,447
48,48,48,KP34198,California,,Bachelor,334387.0,0,92,1/0/00,Corporate Auto,Four-Door Car,529
49,49,49,SH90947,Arizona,,High School or Below,229447.0,0,62,1/0/00,Personal Auto,Four-Door Car,313
50,50,50,WE95729,Oregon,,College,3670742.0,24804,104,1/0/00,Personal Auto,SUV,593
51,51,51,PY51963,California,,Bachelor,3347334.0,33190,106,1/0/00,Corporate Auto,SUV,508
52,52,52,RB69909,Nevada,,High School or Below,798343.0,36014,69,1/3/00,Special Auto,Four-Door Car,173
53,53,53,NW21079,Washington,F,Master,487938.0,67163,61,1/2/00,Personal Auto,Two-Door Car,33
54,54,54,FR46645,California,,Bachelor,429399.0,16701,113,1/0/00,Personal Auto,Four-Door Car,831
